titleQueried|titleFound|author|language|description|isbn
Cemetery Boys|The Cemetery Boys|Heather Brewer|en|Part Hitchcock, part Hinton, this first-ever stand-alone novel from Heather Brewer, New York Times bestselling author of the acclaimed Chronicles of Vladimir Tod series, uses classic horror elements to tell a darkly funny coming-of-age story about the dangerous power of belief and the cost of blind loyalty that Kirkus Reviews called “a slick, spooky, chilling mystery.” When Stephen's dad says they're moving, Stephen knows it's pointless to argue. They're broke from paying Mom's hospital bills, and now the only option left is to live with Stephen's grandmother in Spencer, a backward small town that's like something out of The Twilight Zone. Population: 814. Stephen's summer starts looking up when he meets punk girl Cara and her charismatic twin brother, Devon. With Cara, he feels safe and understood—and yeah, okay, she's totally hot. In Devon and his group, he sees a chance at making real friends. Only, as the summer presses on, and harmless nights hanging out in the cemetery take a darker turn, Stephen starts to suspect that Devon is less a friend than a leader. And he might be leading them to a very sinister end. . . .|9780062307903
Kernstaub|Kernstaub|Marie Graßhoff|de|"""Wir haben nach neuen Welten gesucht, aber keine gefunden. Also nahmen wir die unsere und versuchten, sie schöner und leuchtender zu machen. Doch je mehr Licht wir ihr gaben, umso tiefer wurden ihre Schatten."" Mara hat vergessen, dass sie bereits seit Hunderten von Leben vor den Wächtern des ewigen Systems flieht. Durch den Mord an ihr wollen sie den Weg aller Seelen zur Perfektion ebnen. Ihr Dasein wird in diesem Leben lediglich von ihrer immensen Angst vor Uhren bestimmt. Doch als die Wächter sie erneut aufspüren, um sie aus dem Kreislauf der Wiedergeburten zu tilgen, verschiebt sich das Gleichgewicht der Dimensionen: Uralte Erinnerungen kehren zurück, eine längst vergessene Liebe erwacht von Neuem und Kriege spalten den Planeten. Und über allem schwebt die Frage: Wenn die ganze Welt dich hasst, würdest du dich trotzdem für sie opfern?"|9783959917216
Dunkle Lust|Dunkle Lust|Inka Loreen Minden, Nicole Henser|de|Eine prickelnde Gay Romance mit Action, Tortured Heroes, Romantik und Happy End. Das Abenteuer geht weiter: »Dunkle Lust« ist Teil zwei der Dämonenglut-Dilogie. Ein Geheimbund bildet schon seit Jahrhunderten Kämpfer aus, die täglich gegen höllische Wesen antreten müssen, um das Gleichgewicht der Mächte zu wahren. Aber die Krieger haben auch mit ihren inneren Dämonen genug zu tun: So lässt Jäger Alan nach einem Trauma seinen Lebenspartner Mark nicht mehr an sich heran. Stattdessen flüchtet er sich in die Arme des attraktiven Therapeuten Robert Trelawney. Als Tracy glaubt, in dem Jäger James Ballard endlich den Mann ihres Lebens gefunden zu haben, stellt sich heraus, dass ihn ein düsteres Geheimnis umgibt. Macht James gemeinsame Sache mit den Mächten der Finsternis? Mitten in das Beziehungschaos mischen sich die Dämonen. Sie nutzen die Wirrungen zu ihrem Vorteil, um sich in das Computersystem des Kriegerordens einzuschleusen. Eine Mission zur Rettung der Welt ist mal wieder vorprogrammiert ...|9783752823714
Dunkle Lust|Dunkle Lust|Marc Valentin|de|BDSM-Roman. Sie hätte die Einladung einfach ausschlagen können. Sie hätte davon laufen können, um der Dunkelheit zu entfliehen. Dabei hatte ihr Leben doch gerade erst begonnen. Mitten an einem sonnigen Sommertag, der kälter und dunkler nicht hätte sein können. Sehnsüchtig warteten die anderen auf sie, auf ihren warmen Körper. Neugierig begab sie sich naiv in eine Welt, in der nur ihr Körper zählte und sich niemand für ihre Seele interessierte. Mysteriöse Fremde nahmen sich, wonach sie gierten. Die Schattenwelt verschlang die Kleine und sie fiel in einen Strudel aus dunkler Lust, gepickt mit der Hoffnungslosigkeit einer schmerzlichen Lust.|9783750265325
Loveless|Loveless|Miaad Jabal|en|Takumi Walker had never felt freedom throughout seventeen years of his life, as he had always been locked up inside his grandfathers mansion; not permitted to be noticed by the public eye. He seeks to find out the reason behind the hateful looks he gets given by the only person who raised him, but had never been given an answer. During his seventeenth birthday, his life starts to change completely-- from being a prisoner, to getting kicked out of the country for no good reason.|9798624618008
Loveless|Loveless 9|Yun Kouga|en|Seimei is very much alive and has torn through the Seven Voices Academy like a whirlwind. As Septimal Moon struggles to right itself and keep its secrets from spilling out, a new enemy takes center stage: the unit named “Bloodless” wages a crippling psychological war, ending battles without spilling a single drop of blood. Yet Ritsuka and Soubi must emerge victorious against them—or lose Kio.|9781646594801
Vorstadtprinzessin|Vorstadtprinzessin|Carmen Korn|de|In einem Waldstück am Stadtrand von Hamburg werden kurz nacheinander mehrere Mädchen ermordet aufgefunden. In der Bevölkerung geht die Angst um, denn der Mörder muss aus der unmittelbaren Umgebung stammen. Zur selben Zeit lernen Theo und Lucky, die schon seit ihrer Kindheit befreundet sind, die mysteriöse Leni kennen. Leni, in die sich Theo unsterblich verliebt, die aber den attraktiven Lucky interessanter findet. Doch auch Lucky kommt nicht wirklich an die abenteuerlustige Leni heran. Sie will raus aus der vorstädtischen Enge, lässt sich mit zwielichtigen Typen ein. Eines Tages ist sie verschwunden ...|9783644007420
Krabat. GroÃŸdruck|||||
Krabat. GroÃŸdruck|||||
Krabat. GroÃŸdruck|||||
Krabat. GroÃŸdruck|||||
Krabat. GroÃŸdruck|||||
Krabat. GroÃŸdruck|||||
The Invisible Life of Addie LaRue|The Invisible Life of Addie LaRue|V.E. Schwab|en|In the vein of The Time Traveler's Wife and Life After Life, The Invisible Life of Addie LaRue When Addie La Rue makes a pact with the devil, she trades her soul for immortality. But there's always a price - the devil takes away her place in the world, cursing her to be forgotten by everyone. Addie flees her tiny home town in 18th-Century France, beginning a journey that takes her across the world, learning to live a life where no one remembers her and everything she owns is lost and broken. Existing only as a muse for artists throughout history, she learns to fall in love anew every single day. Her only companion on this journey is her dark devil with hypnotic green eyes, who visits her each year on the anniversary of their deal. Alone in the world, Addie has no choice but to confront him, to understand him, maybe to beat him. Until one day, in a second hand bookshop in Manhattan, Addie meets someone who remembers her. Suddenly thrust back into a real, normal life, Addie realises she can't escape her fate forever.|9781785652516
Pyramids|The Pyramids|Miroslav Verner|en|How did a people who lived nearly five thousand years ago, who knew neither iron nor bronze and who lacked mastery of elementary rules of calculation, manage to construct enormous stone structures with a precision seldom matched even by modern architecture? By one of the world's leading Egyptologists, The Pyramids sets our knowledge of these unique, haunting and perennially fascinating edifices into the context of ancient Egyptian culture and politics.|9781782396802
Pyramids|The Pyramids|John S. Weeks|en||
Zwei Jahre Ferien|Zwei Jahre Ferien|Jules Verne|de||
Zwei Jahre Ferien|Zwei Jahre Ferien|Jules Verne|de||9783436012588
Ember Queen|Fire Queen|Vanessa Sangue|de|"Ich habe dir vertraut ... Saphiras Welt liegt in Scherben. Die De Angelis sind zerschlagen, sie selbst schwer verletzt und ihr Selbstvertrauen zerstört. Das erste Mal in ihrem Leben hatte sie sich von ihren Gefühlen leiten lassen - und muss nun einen hohen Preis dafür bezahlen. Denn Madox ist in Wirklichkeit das neue Oberhaupt der Familie Varga - und damit Saphiras schlimmster Feind. Doch Saphira gilt nicht umsonst als der gefürchtetste capo der Cosa Nostra. Sie schwört, die Vargas auszulöschen und Madox zu zeigen, was es bedeutet, sich mit der Eisprinzessin anzulegen - ohne zu ahnen, dass die größte Gefahr viel näher ist, als sie denkt ... ""Düster, sexy und voller Intrigen: Vanessa Sangue weiß, wie man verbotene Liebesgeschichten schreibt!"" Mona Kasten Abschlussband der düsteren Liebesromanreihe von Bestseller-Autorin Vanessa Sangue"|9783736307223
Winnie-the-Pooh|Winnie the Pooh|Alan Alexander Milne|en|The adventures of Christopher Robin and his friends, in which Pooh Bear uses a balloon to get honey, Piglet meets a Heffalump, and Eeyore has a birthday.|9781101158890
Exodus 9414 - Der dunkelste Tag|Exodus 9414 - Der dunkelste Tag|Thariot|en||9783596700387
Exodus 9414 - Der dunkelste Tag|Exodus 9414 - Der dunkelste Tag|Thariot|de|Dramatisch und bildgewaltig: »Exodus 9414 – Der dunkelste Tag« ist der zweite und abschließende Band der Exodus-Serie von Science-Fiction-Bestseller-Autor Thariot. Die USS London ist ein interstellares Siedlungsschiff auf dem Rückweg zur Erde. Die Crew konnte das Alderamin-System nicht finden, ihre Mission ist gescheitert. 6.475 Jahre nach dem Start erreicht das Schiff unter Commander Jazmin Harper den Ort, an dem ihre Reise begonnen hat, die Erde, den Heimatplaneten der Menschheit. Jazmin wäre lieber gestorben, als diesen Tag zu erleben. Viele Jahre zuvor erreicht die USS Boston den Planeten Cygnus. Maximilian Harper, Jazmins Bruder, hat das Unmögliche geschafft und die Crew mit 200 Jahren Verspätung an ihr Ziel gebracht. Dafür hat er unter schwierigsten Bedingungen ein völlig neues Navigationsmodell entwickeln müssen. Zum Dank dafür erwartet ihn die Todesstrafe. Ein schneller und rasanter Space-Thriller für Leser von Andreas Brandhorst, Dennis E. Taylor, Brandon Q. Morris, Joshua Tree und Phillip P. Peterson.|9783104912523
Anton taucht ab|Anton taucht ab|Milena Baisch|de|Ein herrlich schräges Sommerbuch mit Tiefgang. Die Zutaten: Ein Protagonist mit Ecken und Kanten, ein wunderbar robuster Humor, skurrile Situationen und ein Erzählton frei nach Schnauze, der leise Zwischentöne nicht scheut. »Jetzt erzähle ich die Geschichte. Es beginnt in der Zeit, als ich noch Starflashman hieß, und hier sind Chips. Ihr sollt sitzen bleiben und zuhören, alles klar?« Zugegeben, Campingurlaub mit Oma und Opa ist nicht gerade das Coolste. Doch erst als Anton entdeckt, dass es keinen Swimmingpool gibt, sondern nur einen SEE, werden diese Ferien zum GAU (größtmöglich anzunehmender Unfall). Arschbomben und Köpper vom Badesteg machen wie all die anderen Kinder? In diese Ekelbrühe? Niemals! Zum Eigenbrödlerdasein verdammt und vor Langeweile vergehend, macht Anton schließlich eine Bekanntschaft der besonderen Art – mit einem Fisch. Und damit beginnt ein Ferienabenteuer, wie es sich Anton in seinen kühnsten Heldenfantasien nicht ausgemalt hat ...|9783407799661
Anton taucht ab|Anton taucht ab|Milena Baisch|de|Ein herrlich schräges Sommerbuch mit Tiefgang. Die Zutaten: Ein Protagonist mit Ecken und Kanten, ein wunderbar robuster Humor, skurrile Situationen und ein Erzählton frei nach Schnauze, der leise Zwischentöne nicht scheut. »Jetzt erzähle ich die Geschichte. Es beginnt in der Zeit, als ich noch Starflashman hieß, und hier sind Chips. Ihr sollt sitzen bleiben und zuhören, alles klar?« Zugegeben, Campingurlaub mit Oma und Opa ist nicht gerade das Coolste. Doch erst als Anton entdeckt, dass es keinen Swimmingpool gibt, sondern nur einen SEE, werden diese Ferien zum GAU (größtmöglich anzunehmender Unfall). Arschbomben und Köpper vom Badesteg machen wie all die anderen Kinder? In diese Ekelbrühe? Niemals! Zum Eigenbrödlerdasein verdammt und vor Langeweile vergehend, macht Anton schließlich eine Bekanntschaft der besonderen Art – mit einem Fisch. Und damit beginnt ein Ferienabenteuer, wie es sich Anton in seinen kühnsten Heldenfantasien nicht ausgemalt hat ...|9783407799661
Mein erstes Bremen-Buch|Mein erstes Bremen-Buch|Anne Rieken|en||9783796119385
Mein erstes Bremen-Buch|Mein erstes Werder-Buch|Anne Rieken|en||9783944552538
Shadowmarch 1. Die Grenze|Shadowmarch 1 / Die Grenze|Tad Williams|de|Mit »Shadowmarch« hat Tad Williams eine faszinierende Welt voller Magie und Geheimnis erschaffen. Ganz im Norden, die Türme im dichten Nebel, dräut die riesige, labyrinthische Südmarksfeste. Keiner kennt ihr Alter, und jahrhundertelang war sie fast vergessen. Doch nun kann ihre einsame Lage an der Grenze zum unheimlichen Reich der Zwielichtbewohner sie nicht länger schützen. Südmark wird bedroht. In der Nebelwelt der Zwielichtzone im Norden wie auch im Reich des machtbesessenen Autarchen im Süden sammeln sich Heere. Und ihr Ziel ist die Südmarksfeste, wo die jungen königlichen Zwillinge, da ihr Vater weit entfernt in Gefangenschaft schmachtet, die Regierungsgeschäfte übernehmen müssen; wo Ferras Vansen, Hauptmann der Königlichen Garde, sich in einer Leidenschaft verzehrt, von der jene, die er zu beschützen hat, nichts ahnen; wo Chaven, der über geheimes Wissen aus den Alten Tagen verfügt, einen magischen Spiegel hütet; und wo der Funderling Chert ein Kind findet - ein Kind, dessen Schicksal ihn ins tiefste Herz des Schattenreiches führen soll ...|9783608101591
Twilight|Twilight|Julia Frankau|en|"""Twilight"" by Julia Frankau. Published by Good Press. Good Press publishes a wide range of titles that encompasses every genre. From well-known classics & literary fiction and non-fiction to forgotten−or yet undiscovered gems−of world literature, we issue the books that need to be read. Each Good Press edition has been meticulously edited and formatted to boost readability for all e-readers and devices. Our goal is to produce eBooks that are user-friendly and accessible to everyone in a high-quality digital format."|
Das Lied der Dunkelheit|Das Lied der Dunkelheit|Peter V. Brett|de|„Weit ist die Welt – und dunkel ...“ ... und in der Dunkelheit lauert die Gefahr. Das muss der junge Arlen auf bittere Weise selbst erfahren. Schon seit Jahrhunderten haben Dämonen, die sich des Nachts aus den Schatten erheben, die Menschheit zurückgedrängt. Das einzige Mittel, mit dem die Menschen ihre Angriffe abwehren können, sind die magischen Runenzeichen. Als Arlens Mutter bei solch einem Dämonenangriff umkommt, flieht er aus seinem Heimatdorf. Er will nach Menschen suchen, die den Mut noch nicht aufgegeben und das Geheimnis um die alten Kriegsrunen noch nicht vergessen haben. „Das Lied der Dunkelheit“ ist ein eindringliches, fantastisches Epos voller Magie und Abenteuer. Es erzählt die Geschichte eines Jungen, der einen hohen Preis bezahlt, um ein Held zu werden. Und es erzählt die Geschichte des größten Kampfes der Menschheit – der Kampf gegen die Furcht und die Dämonen der Nacht. Episch und düster – die faszinierendste Weltenschöpfung der letzten Jahre.|9783641010546
Das Lied der Dunkelheit|Das Lied der Dunkelheit|Peter V. Brett|en||9783453524767
Die Chroniken von Alice - Finsternis im Wunderland|Die Chroniken von Alice - Finsternis im Wunderland|Christina Henry|de|Unglaublich packend: Diese düstere Neuerzählung von »Alice im Wunderland« wird Ihnen den Schlaf rauben. Seit zehn Jahren ist Alice in einem düsteren Hospital gefangen. Alle halten sie für verrückt, während sie selbst sich an nichts erinnert. Weder, warum sie sich an diesem grausamen Ort befindet, noch, warum sie jede Nacht Albträume von einem Mann mit Kaninchenohren quälen. Als ein Feuer im Hospital ausbricht, gelingt Alice endlich die Flucht. An ihrer Seite ist ihr einziger Freund: Hatcher, der geisteskranke Axtmörder aus der Nachbarzelle. Doch nicht nur Alice und Hatcher sind frei. Ein dunkles Wesen, das in den Tiefen des Irrenhauses eingesperrt war, ist ebenfalls entkommen und jagt die beiden. Erst wenn Alice dieses Ungeheuer besiegt, wird sie die Wahrheit über sich herausfinden – und was das weiße Kaninchen ihr angetan hat ... Nichts für schwache Nerven: Henrys Neuerzählung von »Alice im Wunderland« ist brutal – gleichzeitig aber unglaublich packend. Alle Bücher von Christina Henry: Die Chroniken von Alice – Finsternis im Wunderland Die Chroniken von Alice – Die Schwarze Königin Die Chroniken von Alice – Dunkelheit im Spiegelland Die Chroniken von Peter Pan – Albtraum im Nimmerland Die Chroniken der Meerjungfrau – Der Fluch der Wellen Die Chroniken von Rotkäppchen – Allein im tiefen, tiefen Wald Die Bände (außer Alice) sind unabhängig voneinander lesbar.|9783641256333
Die Chroniken von Alice - Finsternis im Wunderland|Die Chroniken von Alice - Finsternis im Wunderland|Christina Henry|de||9783764532345
Die Chroniken der Meerjungfrau - Der Fluch der Wellen|Die Chroniken der Meerjungfrau - Der Fluch der Wellen|Christina Henry|de|Christina Henrys düstere Neuinterpretation des Meerjungfrauen-Mythos: die berühmte Legende verwoben mit gruseliger Realität. Einst zog ein einsamer Fischer sein Netz an Land und fand darin eine Frau. Eine Frau mit schwarzem Haar und Augen, in denen sich der Sturm des Meeres widerspiegelte. Anstelle von Beinen hatte sie einen Fischschwanz, und obwohl sie die Worte des Fischers nicht verstand, rührte sie seine Einsamkeit, und sie blieb bei ihm. Ihre Liebe dauerte an, bis sein Tod ihn von der unsterblichen Meerjungfrau trennte. Doch Gerüchte über dieses rätselhafte Wesen sind längst laut geworden – und haben die Aufmerksamkeit eines Mannes erregt, der mit seinem Zirkus durch das Land zieht und den Menschen ihre schlimmsten Albträume hinter Gittern vorführt. Sein Name ist P.T. Barnum, und er sucht eine Meerjungfrau ... Alle Bücher von Christina Henry: Die Chroniken von Alice – Finsternis im Wunderland Die Chroniken von Alice – Die Schwarze Königin Die Chroniken von Alice – Dunkelheit im Spiegelland Die Chroniken von Peter Pan – Albtraum im Nimmerland Die Chroniken der Meerjungfrau – Der Fluch der Wellen Die Chroniken von Rotkäppchen – Allein im tiefen, tiefen Wald Die Bände (außer Alice) sind unabhängig voneinander lesbar.|9783641256364
What Abigail Did That Summer|What Abigail Did That Summer|Ben Aaronovitch|en|The brand new novella in the much-loved and #1 bestselling Rivers of London series! Ghost hunter, fox whisperer, troublemaker. It is the summer of 2013 and Abigail Kamara has been left to her own devices. This might, by those who know her, be considered a mistake. While her cousin, police constable and apprentice wizard Peter Grant, is off in the sticks, chasing unicorns, Abigail is chasing her own mystery. Teenagers around Hampstead Heath have been going missing but before the police can get fully engaged, the teens return home - unharmed but vague about where they've been. Aided only by her new friend Simon, her knowledge that magic is real, and a posse of talking foxes that think they're spies, Abigail must venture into the wilds of Hampstead to discover who is luring the teenagers and more importantly - why?|9781473224360
Die HaarteppichknÃ¼pfer|||||
Die HaarteppichknÃ¼pfer|||||
Die HaarteppichknÃ¼pfer|||||
Die HaarteppichknÃ¼pfer|||||
Die HaarteppichknÃ¼pfer|||||
Die HaarteppichknÃ¼pfer|||||
Canticle for Leibowitz, A|A Canticle for Leibowitz|Walter M. Miller|en|Winner of the 1961 Hugo Award for Best Novel and widely considered one of the most accomplished, powerful, and enduring classics of modern speculative fiction, Walter M. Miller, Jr.'s A Canticle for Leibowitz is a true landmark of twentieth-century literature -- a chilling and still-provocative look at a post-apocalyptic future.|9780739447031
Canticle for Leibowitz, A|A Canticle for Leibowitz|Walter M. Miller, Jr.|en|The classic science fiction novel of a future dark age and humanity's new renaissance It is a new dark age of fear and ignorance. An atomic Flame Deluge has ravaged the earth, and humanity's survivors have turned against science. In the depths of a hellish desert, the Order of St Leibowitz preserves the few remnants of mankind's knowledge. Then a humble monk makes a miraculous discovery of several artefacts - including a note written by blessed St Leibowitz himself, which reads: Pound pastrami can kraut six bagels - bring home for Emma Could this holiest of relics hold the key to humanity's salvation? A Canticle For Leibowitz is a sharp, satirical examination of humanity that is chilling, provocative and endlessly imaginative - an undisputed science fiction classic.|9780356513171
Canticle for Leibowitz, A|A Canticle for Leibowitz|Walter M. Miller|en|Winner of the 1961 Hugo Award for Best Novel and widely considered one of the most accomplished, powerful, and enduring classics of modern speculative fiction, Walter M. Miller, Jr.'s A Canticle for Leibowitz is a true landmark of twentieth-century literature -- a chilling and still-provocative look at a post-apocalyptic future. In a nightmarish ruined world slowly awakening to the light after sleeping in darkness, the infant rediscoveries of science are secretly nourished by cloistered monks dedicated to the study and preservation of the relics and writings of the blessed Saint Isaac Leibowitz. From here the story spans centuries of ignorance, violence, and barbarism, viewing through a sharp, satirical eye the relentless progression of a human race damned by its inherent humanness to recelebrate its grand foibles and repeat its grievous mistakes. Seriously funny, stunning, and tragic, eternally fresh, imaginative, and altogether remarkable, A Canticle for Leibowitz retains its ability to enthrall and amaze. It is now, as it always has been, a masterpiece.|9780060892999
Mein erstes Feuerwehr-Bastelbuch|Mein erstes Feuerwehr-Bastelbuch||en||9783649623489
Date Me, Bryson Keller|Date Me, Bryson Keller|Kevin van Whye|en|'One of the most adorable, big-hearted, charming books in existence' - Becky Albertalli, #1 New York Times bestselling author of Simon vs the Homo Sapiens Agenda Everyone at Fairvale Academy knows Bryson Keller, the super-hot soccer captain who doesn't believe in high-school relationships. They also know about the dare Bryson accepted - each week he has to date the first person who asks him out. A single school week is all anyone gets. There have been no exceptions to this. None. Until me, that is. Because brilliant Bryson Keller forgot one thing. He never said it could only be girls . . . To All The Boys I've Loved Before meets Simon vs the Homo Sapiens Agenda in this irresistible LGBTQ+ rom com. 'An adorable featherlight romance' - Guardian|9780241435274
Date Me, Bryson Keller|Date Me, Bryson Keller|Kevin Van Whye|en|When Kai Sheridan, gay but not out, asks popular Bryson Keller on a date as part of a dare, both of their lives are transformed.|9780593126066
Kiss Me Once|Kiss Me Once|Stella Tack|de||9783473585557
Sa Princesse Vierge|Sa Princesse Vierge|Grace Goodwin|fr|Danielle arrive sur Everis, impatiente de rencontrer son nouveau compagnon. Elle voit ses amies trouver le bonheur alors qu’elle est hantée par des rêves d’un Chasseur Everien qui refuse de la rejoindre ‒ d’un compagnon qui refuse de la revendiquer. Mais quelque chose ne va pas. Les rêves se font plus sombres. Torturés. Son compagnon souffre, et rien ne pourra empêcher Danielle de le trouver ‒ surtout pas le fait qu’il lui ordonne d’en choisir un autre, de se faire passer en premier et de donner plus d’importance à sa propre vie qu’à celle de son compagnon. Gage d’Everis est l’héritier d’un siège au conseil des Sept, le corps dirigeant composé de familles qui détiennent le pouvoir sur Everis depuis des millénaires. Il est le dernier prince de sa lignée, le dernier héritier survivant, et quelqu’un ne veut pas le voir accéder au pouvoir. Trahi, torturé et seul, Gage trouve du réconfort en empêchant sa Compagne Marquée de connaître le même destin que lui. Mais sa promise entêtée refuse de se montrer raisonnable. Lorsqu’elle le trouve, l’heure de rendre des comptes est venue. Non seulement Gage est déterminé à retrouver ceux qui l’ont trahi, mais aussi à conquérir la chasseresse sauvage qui l’a retrouvé dans le noir et qui s’est emparée de son cœur. ** Si vous aimez la romance dans le style de Nalini Singh, Christine Feehan, J.R. Ward, Lara Adrian, S. E. Smith, et les aventures extraterrestres comme The Expanse, Star Trek, Star Wars et Stargate, ne manquez pas de lire la passionnante série de livres de science-fiction et de paranormal de Grace Goodwin, auteur de best-sellers de l'USAT ! Aliens, aventure et romance en un seul endroit ! Plus d'un MILLION de livres vendus ! Tags: alien romance, sci-fi romance, science fiction romance, paranormal romance, psychic romance, shifter, space fleet, space opera, interstellar brides, mail-order bride, arranged marriage, shifter, mate, alien mate, fated mate, reverse harem, scifi romance, scifi alien romance, scifi harem, The Colony, IBP, Prillon, Warrior, Atlan, Warlord, Everis, Hunter, Cyborg, Viken, Rogue 5, Kronos, Cerberus, Astra, matched mate, Trion, Coalition Fleet.|
Clockwork Angel|Clockwork Angel|Cassandra Clare|en|The #1 New York Times and USA TODAY bestseller is now available at an incredible low price for a limited time only! Discover the “compulsively readable” (Booklist) first book in the Infernal Devices trilogy, prequel to the internationally bestselling Mortal Instruments series! Clockwork Angel is a Shadowhunters novel. When Tessa Gray crosses the ocean to find her brother, her destination is England, the time is the reign of Queen Victoria, and something terrifying is waiting for her in London’s Downworld, where vampires, warlocks, and other supernatural folk stalk the gaslit streets. Only the Shadowhunters, warriors dedicated to ridding the world of demons, keep order amidst the chaos. Kidnapped by a secret organization called The Pandemonium Club, Tessa learns that she herself is a Downworlder with a rare ability: the power to transform into another person. What’s more, the Magister, the shadowy figure who runs the Club, will stop at nothing to claim Tessa’s power for his own. Friendless and hunted, Tessa takes refuge with the Shadowhunters of the London Institute, who swear to find her brother if she will use her power to help them. She soon finds herself fascinated by—and torn between—two best friends: James, whose fragile beauty hides a deadly secret, and Will, whose caustic wit and volatile moods keep everyone in his life at arm’s length…everyone, that is, but Tessa. As their search draws them deep into the heart of an arcane plot that threatens to destroy the Shadowhunters, Tessa realizes that she may need to choose between saving her brother and helping her new friends save the world…and that love may be the most dangerous magic of all.|9781534465961
Clockwork Angel|Clockwork Angel|Cassandra Clare|en||9783401507996
Clockwork Angel|Clockwork Prince|Cassandra Clare|en|The second instalment of The Infernal Devices follows Tessa and her two dashing Shadowhunter companions, Will and Jem, as they travel throughout Victorian England seeking the full truth behind the Magister's sinister plot. Tessa feels herself growing closer to Jem, but Will continues to infuriate her - moody and aloof, she can't tell what he feels for her . . . or quite what she feels for him.|9780356502694
Detectives At Work. Rettet die Geparde!|Detectives At Work. Rettet Die Geparde!|Renate Ahrens-Kramer|en||9783499214325
Gepardensommer|Gepardensommer|Katja Brandis|de|Wenn aus einem Abenteuertrip eine Reise zu sich selbst wird! Für alle Leserinnnen, die dem Ruf der Freiheit in die weite Welt folgen wollen. Vor allem aber für alle größer gewordenen Woodwalkers-Fans. Auf Lilly wartet ein unvergessliches Erlebnis: Sie darf auf einer Farm in Namibia mitarbeiten, die sich dem Schutz der bedrohten Geparden widmet. Dort soll die deutsche Tierarzttochter bei der Pflege verletzter Großkatzen, der Aufzucht verwaister Jungtiere und der Feldforschung im Busch mithelfen. Ein Traum wird für sie wahr! Lillys Aufenthalt klappt so lange gut, bis sie sich in Erik verliebt, den Sohn eines benachbarten Farmers. Seine seltsame Familie und seine Geheimnisse stürzen ihr Leben völlig ins Chaos. Katja Brandis, die mit ihrer Woodwalkers-Serie regelmäßig die Bestsellerliste stürmt, mit einem naturverbundenen Roman über den Schutz von Geparden in Namibia. Authentisch, sympathisch und völlig frei von kitschigem Sonnenuntergangspathos.|9783401808918
Gepardensommer|Gepardensommer|Katja Brandis, Sylvia Englert|de|Eine 16-jährige deutsche Tierarzttochter erlebt während eines Praktikums auf einer von Tierschützern betriebenen Gepardenfarm in Namibia unvergessliche Abenteuer. Ab 13.|9783800054541
Die Kunst des Zeichnens fÃ¼r Kinder Ãœbungsbuch|Die Kunst des Zeichnens für Kinder Übungsbuch|Gecko Keck|de||9783772484599
Throne of Glass|Throne of Glass|Sarah J. Maas|en|The book that started the phenomenon. Sarah J. Maas's global #1 bestselling THRONE OF GLASS series has taken the world by storm. Meet Celaena Sardothien. Beautiful. Deadly. Destined for greatness. In the dark, filthy salt mines of Endovier, an eighteen-year-old girl is serving a life sentence. She is a trained assassin, the best of her kind, but she made a fatal mistake. She got caught. Young Captain Westfall offers her a deal: her freedom in return for one huge sacrifice. Celaena must represent the prince in a to-the-death tournament - fighting the most gifted thieves and assassins in the land. Live or die, Celaena will be free. Win or lose, she is about to discover her true destiny. But will her assassin's heart be melted?|9781526634450
Unsere Erde|Unsere Erde|Anton Jakob|de||
Unsere Erde|Unsere Erde|Felix Sutton, Rainer Köthe, Gerd Ohnesorge|de|Eine blauweiße Kugel im unendlichen All - das ist unsere Heimat, die Erde. Doch wie ist unser Planet entstanden? Wie bildten sich Kontinente und Ozean, Gebirge und Ebenen? Warum gibt es Tag und Nacht? Was sind Vulkane? Wie entstehen Bodenschätze? Der erste Band der WAS IST WAS-Reihe gibt auf diese und viele andere Fragen Antwort. Spannend und sachkundig erzählt Dr. Rainer Köthe vom glutflüssigen Inneren der Erde, von Ebbe und Flut, Waser und Luft und der Entstehung des Lebens, weist aber auch auf die Gefährdungen hin, denen unser Planet duch fortschreitende Umweltzerstörung ausgesetzt ist.|9783788602413
Unsere Erde|Unsere Tage||de||
Unsere Erde|Unsere Erde|Inge Bezold, Gabriele Brantl, Ambros Brucker, Martina Flath, Bernadette Kannler, Thomas Killinger, Uta Weise|de||9783637015678
Was der Vampir begehrt|Was der Vampir begehrt|Lynsay Sands|de|"Eine schicksalhafte Begegnung Auch wenn Elspeth Argeneau bereits über 142 Vampirjahre hinter sich gebracht hat - viel gelebt hat sie noch nicht! Aber jetzt hat sie die Zügel in die eigenen Hände genommen, ist bei ihrer Mutter ausgezogen und macht Jagd auf abtrünnige Vampire. Doch immer wieder wird sie in seltsame Unfälle verwickelt. Zum Glück springt Wyatt - Enkel ihrer Vermieterin und Elitesoldat - als Elspeths Bodyguard ein, um die Frau zu retten, die für ihn die Ewigkeit bedeuten soll ... Sands' Charaktere sind witzig und vielschichtig ... Respekt an die Autorin!"" ROMANTIC TIMES Band 27 der Argeneaus"|9783736308527
